touchpoint_id,account_id,date_key,channel_key,campaign_key,ad_spend,impressions,clicks,click_through_rate,cost_per_click,landing_page_visits,form_submissions,demo_requests,mql_generated,sql_generated,opportunities_created,deal_closed,deal_value,sales_cycle_days,roi,roas,cost_per_acquisition,estimated_ltv,engagement_score,email_opens,email_clicks,content_downloads
13718,1265,20241108,269,34,5611.16,191017,6491,19.96,87.46,4722,949,482,224,76,52,0,0,251,-100,0,0,0,123,44,10,5
13719,1372,20240109,62,36,737.548,456246,8422,3.29,443.12,7596,353,275,272,25,44,0,0,246,-100,0,0,0,55,11,3,3
13720,1486,20240603,189,28,10666.28,241734,12596,8.27,142.35,246,1622,455,169,95,72,0,0,183,-100,0,0,0,88,16,9,16
13721,1434,20240528,379,16,10849.36,164787,9130,14.84,474.668,1206,803,439,274,134,34,0,0,41,-100,0,0,0,12,33,2,12
13722,1646,20241202,303,10,7957.08,485232,1894,9.94,228.63,6165,1930,287,183,36,0,0,0,134,-100,0,0,0,124,1,4,12
13723,1211,20241021,145,15,3826.83,107569,9732,10.06,431.65,5061,265,345,276,66,28,0,0,67,-100,0,0,0,107,1,8,16
13724,1572,20241117,320,23,4654.55,340077,9134,4.46,221.13,5588,1701,79,249,116,69,0,0,351,-100,0,0,0,142,47,2,16
13725,1377,20240217,339,19,8821.91,0,0,5.87,474.668,351,1971,493,75,50,41,0,0,380,-100,0,0,0,103,16,2,2
13726,1395,20241009,126,33,3471.18,278979,5539,7.38,393.63,901,100,445,263,110,13,0,0,174,-100,0,0,0,122,17,7,1
13727,1450,20240209,73,40,7326.57,24897,11444,18.08,468.58,3514,740,137,54,2,15,0,0,157,-100,0,0,0,78,42,24,1
13729,1876,20240324,94,4,4954.85,307760,1298,5.65,335.3,5661,1281,458,14,14,2,0,0,0,-100,0,0,0,12,39,9,4
13730,1457,20240524,61,30,5769.555,499932,10526,2.04,447.85,2533,1470,86,98,65,24,0,0,334,-100,0,0,0,38,30,9,8
13731,1725,20241221,264,13,11146.65,290,290,14.26,50.19,5064,66,493,220,90,24,0,0,395,-100,0,0,0,142,22,0,0
13732,1728,20240413,160,22,4119.95,89141,11208,5.53,211.52,3104,842,403,132,61,57,1,118264.5461452491,140,2770.5335294178108,28.70533529417811,4119.95,141917.4553742989,118,14,13,6
13734,1131,20240905,280,3,9073.71,314170,7671,13.86,427.79,1435,1945,419,30,30,54,0,0,167,-100,0,0,0,52,25,16,11
13735,1588,20241211,16,1,11145.52,389447,3492,8.75,273.5,353,1047,343,70,36,6,0,0,277,-100,0,0,0,86,0,7,16
13736,1476,20240821,121,6,10310.14,207359,8407,6.24,265.37,7587,178,289,140,84,31,0,0,0,-100,0,0,0,55,18,8,9
13737,1798,20240624,24,15,8998.5,13588,10797,11.2,140.62,7031,1323,118,258,90,40,0,0,0,-100,0,0,0,68,16,18,4
13739,1156,20240825,124,30,2932.2,242931,10600,8.67,456.3,5183,269,191,142,133,35,0,0,203,-100,0,0,0,46,35,0,6
13740,1760,20240612,176,17,8064.25,30204,0,23.58,396.37,6604,1140,63,181,11,12,0,0,281,-100,0,0,0,27,13,1,1
13741,1218,20241103,37,10,3353.5,104047,1516,14.97,371.66,6386,154,341,200,93,16,1,16869.294974877354,139,403.0354845647041,5.030354845647041,3353.5,20243.153969852825,41,44,13,1
13742,1190,20240922,122,19,5308.23,452447,1831,16.68,346.42,7897,390,60,127,127,0,1,26558.04149,164,400.31821325737207,5.003182132573721,5308.23,31869.64978991016,81,15,9,18
13743,1417,20240828,330,4,8530.9,285965,5339,5.24,203.65,3270,1403,136,69,54,8,0,0,209,-100,0,0,0,18,38,19,0
13744,1675,20240119,282,45,8114.99,103423,8474,10.31,398.6,7516,1921,89,177,40,33,0,0,11,-100,0,0,0,93,9,18,9
13745,1692,20240126,238,24,4844.33,0,0,6.83,160.67,3334,846,18,136,136,77,0,0,52,-100,0,0,0,47,48,20,2
13747,1041,20240704,69,21,5835.5,290713,12605,11.74,474.668,662,1754,404,113,9,26,0,0,57,-100,0,0,0,56,7,15,10
13748,1307,20240810,310,2,3276.18,9662,9662,22.91,163.72,4026,1749,172,156,130,27,0,0,111,-100,0,0,0,53,44,11,18
13749,1338,20240228,356,13,3102.44,406576,11704,12.81,365.25,1920,836,373,174,19,41,1,27441.212730492432,386,784.5042202425327,8.845042202425327,3102.44,32929.45527659092,116,43,19,10
13750,1314,20241010,323,5,3955.18,186931,10597,24.24,443.99,1438,53,231,273,117,2,0,0,226,-100,0,0,0,140,5,14,19
13751,1075,20240330,159,17,8489.54,0,0,17.4,266.56,2061,796,267,219,85,59,0,0,93,-100,0,0,0,103,32,23,3
13752,1279,20241227,36,10,5992.57,496739,6958,14.74,395.15,505,306,81,85,85,28,0,0,140,-100,0,0,0,0,8,15,11
13753,1176,20240626,306,27,4509.39,96094,3436,16.43,303.14,7030,801,428,146,42,26,1,135724.3572,176,2909.816344159609,30.098163441596093,4509.39,162869.2286902788,28,45,20,16
13754,1896,20240102,218,4,10812.11,347524,613,24.24,431.72,4651,1360,166,118,17,0,0,0,119,-100,0,0,0,109,2,8,2
13755,1662,20240405,141,22,8496.03,319274,3479,15.83,440.88,4431,1863,136,258,1,0,0,0,82,-100,0,0,0,132,48,20,6
13756,1273,20240709,25,13,5961.1,360775,4653,7.91,323.37,5371,1422,314,25,25,32,0,0,75,-100,0,0,0,23,38,20,3
13757,1837,20240818,168,25,5084.4,288335,8364,19.49,129.54,185,271,101,279,148,33,0,0,155,-100,0,0,0,30,19,7,16
13758,1620,20240519,79,5,5769.555,457196,13891,10.35,306.45,7401,1945,171,68,51,42,0,0,0,-100,0,0,0,142,42,7,1
13759,1651,20241008,298,25,2116.45,393431,7099,21.87,147.25,2954,1169,290,288,84,31,0,0,303,-100,0,0,0,52,43,12,3
13760,1862,20240321,33,27,7986.64,483822,1679,9.42,25.296,5929,163,100,184,102,23,0,0,139,-100,0,0,0,106,36,15,10
13761,1783,20240819,320,12,737.548,301500,10183,7.45,474.668,3197,646,186,5,5,23,0,0,319,-100,0,0,0,117,28,7,10
13762,1859,20240906,161,9,5769.555,31108,12871,12.87,221.6,2425,1436,395,131,114,26,0,0,74,-100,0,0,0,140,41,15,13
13764,1724,20240823,67,8,6192.16,407506,14972,1.89,274.09,1740,1799,233,69,69,72,0,0,218,-100,0,0,0,142,32,23,12
13766,1272,20240814,173,18,5769.555,436549,3813,10.08,378.83,1624,1926,339,287,81,67,0,0,108,-100,0,0,0,49,21,21,5
13767,1066,20241017,290,36,11274.85,117150,3346,11.74,276.71,3709,987,108,268,41,67,0,0,326,-100,0,0,0,119,28,15,1
13768,1483,20240510,164,35,737.548,280665,4118,17.91,406.61,4147,1055,336,224,85,26,0,0,287,-100,0,0,0,142,3,21,14
13770,1156,20240220,261,24,10264.65,191100,3320,6.66,424.49,4452,1185,249,203,46,49,0,0,206,-100,0,0,0,100,26,11,12
13771,1047,20240516,338,14,6702.74,462805,4984,5.9,59.57,3130,1504,195,88,37,13,1,145680.73529881047,147,2073.4504888867905,21.734504888867907,6702.74,174816.88235857256,22,23,1,15
13772,1454,20240828,315,22,10598.76,456399,0,13.41,328.19,1588,220,385,77,71,16,1,47332.24045091837,297,346.5828120546023,4.465828120546023,10598.76,56798.68854110204,47,16,14,18
13773,1201,20241209,222,20,8350.98,341042,5754,21.46,25.296,3890,1001,404,191,66,44,0,0,222,-100,0,0,0,56,42,23,15
13774,1660,20241104,222,28,5673.5,311806,3616,12.19,474.668,5543,1554,364,146,146,25,0,0,294,-100,0,0,0,74,16,1,10
13775,1124,20240719,18,21,1978.08,457301,6633,8.02,322.34,4156,1494,65,295,128,19,0,0,249,-100,0,0,0,62,1,23,8
13776,1001,20240629,14,10,4708.84,88644,5879,3,459.36,7948,83,201,76,76,60,1,53383.703871949976,46,1033.691182370817,11.336911823708167,4708.84,64060.444646339965,55,41,2,7
13777,1759,20240323,267,3,9456.38,117058,6698,1.71,283.15,5006,535,330,211,109,14,0,0,178,-100,0,0,0,57,1,14,12
13778,1855,20240713,157,1,2845.31,440050,5951,7.43,474.668,7877,447,335,174,123,54,0,0,316,-100,0,0,0,92,49,20,18
13779,1640,20240421,136,1,8562.78,284848,12854,11.88,268.71,3660,1474,258,174,54,49,0,0,31,-100,0,0,0,22,25,21,6
13780,1191,20240420,225,7,3005.77,221324,11065,9.24,210.08,307,1101,396,279,112,11,0,0,350,-100,0,0,0,63,35,1,10
13781,1579,20240813,76,31,5589.24,489395,606,11.75,378.44,2935,921,341,224,103,44,1,30602.175642077545,220,447.51944167861006,5.475194416786101,5589.24,36722.610770493055,94,48,16,3
13784,1815,20240213,217,14,7371.8,129333,2540,16.94,281.71,6052,133,33,84,79,32,0,0,0,-100,0,0,0,21,48,4,12
13785,1806,20240805,309,13,6781.65,210424,14451,9.61,202.79,2003,515,436,27,27,75,0,0,153,-100,0,0,0,66,36,14,12
13786,1143,20241026,224,28,4907.27,140739,7997,20.59,245.06,4884,1593,416,86,86,36,0,0,346,-100,0,0,0,16,0,15,6
13787,1191,20240426,76,6,4467.86,329263,13751,20.12,426.89,6761,924,89,146,95,29,0,0,64,-100,0,0,0,62,49,20,16
13788,1533,20240806,287,29,3341.02,485082,11957,6.17,98.44,7589,1480,155,66,66,11,0,0,359,-100,0,0,0,20,15,18,1
13789,1227,20240712,376,17,9216.89,341148,8660,3.26,56.44,7838,1603,365,103,59,22,0,0,304,-100,0,0,0,52,26,11,12
13790,1313,20240925,74,23,9402.53,317284,14266,22.67,234.18,6009,1269,346,29,29,64,0,0,267,-100,0,0,0,108,11,0,7
13791,1629,20240103,195,11,5822.18,198443,8242,4.7,109.67,1718,259,437,77,77,59,1,6650.465412178999,184,14.226379331779482,1.1422637933177948,5822.18,7980.558494614798,118,11,17,1
13792,1302,20241003,170,18,4621.61,290959,7327,16.39,25.296,5082,1614,419,120,120,35,0,0,252,-100,0,0,0,120,35,18,2
13793,1654,20240316,99,14,7667.2,125780,2611,21.71,358.17,6554,222,219,109,109,10,0,0,340,-100,0,0,0,94,49,13,13
13794,1460,20240218,189,22,6714.9,195660,5187,1.71,214.57,2470,1838,301,41,41,75,0,0,355,-100,0,0,0,13,45,0,7
13797,1393,20240526,236,14,9470.78,78003,11322,17.41,151.64,152,541,206,287,38,31,0,0,241,-100,0,0,0,116,14,2,14
13799,1764,20240520,368,2,5053.74,26486,5677,14.05,336.41,3324,1890,290,218,105,55,1,69366.56326847969,189,1272.5787885502557,13.725787885502555,5053.74,83239.87592217562,135,6,12,2
13800,1845,20241027,164,36,1632.45,245421,3005,22.86,374.13,7124,1911,68,298,130,3,1,96497.26331824948,88,5811.192582820268,59.111925828202686,1632.45,115796.71598189935,27,35,4,12
13801,1207,20240224,183,18,10271.66,0,0,24.24,52.48,3779,217,454,65,65,70,0,0,182,-100,0,0,0,0,6,22,5
13802,1210,20240411,319,9,7749.07,451906,5294,2.16,411.91,3053,1473,209,210,117,38,0,0,0,-100,0,0,0,76,16,12,11
13804,1737,20240309,331,30,10228.03,477222,10115,5.73,60.24,6843,433,263,3,3,59,0,0,129,-100,0,0,0,16,17,12,11
13805,1646,20240901,320,39,8472.28,0,0,4.28,219.56,6367,155,121,251,72,22,0,0,0,-100,0,0,0,40,46,20,15
13806,1251,20241115,361,15,5334.05,50421,5619,19.64,189.55,1363,245,458,273,47,77,0,0,204,-100,0,0,0,31,9,14,14
13807,1219,20240201,213,2,11274.85,367857,13251,16.01,85.95,6267,732,102,71,71,30,0,0,105,-100,0,0,0,66,25,16,0
13808,1407,20240629,177,35,5769.555,248869,14087,1.97,435.66,7536,923,433,27,5,15,0,0,110,-100,0,0,0,93,24,4,19
13810,1603,20241003,305,30,5769.555,187809,5153,17.94,229.07,7188,1667,202,249,95,77,0,0,377,-100,0,0,0,0,25,11,2
13811,1354,20240229,268,35,9096.74,164517,8520,1.71,85.33,4056,1493,253,51,51,53,0,0,285,-100,0,0,0,142,1,23,18
13814,1550,20241028,156,4,9322.5,43803,7812,22.86,264.39,3623,1112,159,246,98,13,1,15632.891589707871,277,67.68990710332928,1.6768990710332927,9322.5,18759.469907649443,130,6,0,16
13815,1142,20241113,326,33,11158.68,134500,13453,21.33,158.89,1555,384,77,66,66,62,0,0,178,-100,0,0,0,118,45,11,17
13817,1501,20240220,29,20,7229.67,443096,2886,8,340.52,3402,1228,113,206,14,34,0,0,275,-100,0,0,0,28,5,2,2
13818,1840,20240226,124,16,2672.1,0,0,13.2,473.64,2072,600,81,288,10,16,0,0,181,-100,0,0,0,107,41,16,16
13819,1702,20240318,148,33,4823.33,323186,14951,11.19,306.04,6111,1594,20,196,89,10,0,0,130,-100,0,0,0,0,19,12,6
13820,1547,20240310,252,22,3217.84,70620,8454,19.35,169.31,188,121,275,297,69,69,0,0,0,-100,0,0,0,27,17,16,4
13822,1542,20240112,270,24,1398.87,152576,11597,15.73,340.41,4316,509,322,213,75,24,0,0,250,-100,0,0,0,16,44,20,1
13823,1846,20241020,133,31,5769.555,47710,6633,3.25,209.06,1763,1110,10,263,98,67,0,0,66,-100,0,0,0,46,39,10,6
13824,1507,20241031,224,20,897.48,229761,0,11.32,28.19,1317,1199,425,104,104,45,0,0,234,-100,0,0,0,17,39,21,11
13825,1596,20240813,330,14,5927.39,437069,12026,24.24,410.34,3923,941,164,240,20,45,0,0,91,-100,0,0,0,116,4,13,10
13826,1881,20240406,217,10,3595.36,125884,8601,23.9,366.55,7712,1494,36,176,67,32,0,0,350,-100,0,0,0,70,0,12,9
13828,1424,20240607,12,6,5504.53,454741,2709,16.9,282.39,7479,1937,483,215,91,6,1,138835.06684682312,0,2422.196569858337,25.22196569858337,5504.53,166602.08021618772,122,15,21,16
13829,1856,20240907,104,10,2964.04,226660,5322,1.71,386.96,656,164,204,20,20,13,0,0,77,-100,0,0,0,0,48,5,6
13830,1270,20240628,102,36,1280.14,19518,4226,11.2,236.82,3463,1340,380,71,71,70,0,0,67,-100,0,0,0,94,14,14,9
13831,1154,20240229,25,28,9052.13,454395,10699,1.71,325.77,4812,570,211,283,11,38,0,0,366,-100,0,0,0,56,40,22,1
13832,1614,20240312,91,11,7615.93,449403,10705,6.31,240.09,1227,1413,138,160,19,28,0,0,94,-100,0,0,0,44,19,22,16
13833,1727,20240531,36,10,737.548,422091,11188,12,312.38,7679,1281,293,124,90,33,0,0,242,-100,0,0,0,46,31,9,2
13834,1662,20240222,91,22,11274.85,129254,235,14.74,255.48,1105,488,165,206,67,18,0,0,185,-100,0,0,0,89,30,14,11
13835,1083,20240830,349,31,7727.76,298532,3190,21.98,132.17,980,373,395,50,38,70,0,0,60,-100,0,0,0,119,11,5,5
13836,1622,20240707,43,1,2525.81,74396,11426,5.03,315.12,6005,1674,297,203,140,66,0,0,140,-100,0,0,0,119,14,18,15
13837,1899,20241124,349,27,10093.94,189866,5483,8.06,238.86,6023,648,101,159,37,46,0,0,127,-100,0,0,0,65,12,18,16
13840,1713,20241002,162,11,10632.59,405977,13143,22.73,175.67,4737,1391,345,142,128,51,1,71259.43443,283,570.1982719,6.701982719,10632.59,85511.32132160281,126,20,2,16
13841,1284,20240506,202,23,737.548,215406,937,21.91,157.61,2362,1486,260,211,35,73,0,0,173,-100,0,0,0,39,38,1,14
13842,1173,20240321,258,24,5769.555,300583,5574,22.23,25.296,5924,1866,213,226,14,69,0,0,92,-100,0,0,0,11,26,20,8
13843,1327,20241027,237,21,737.548,125109,422,18.15,70.84,2636,1478,458,209,133,39,0,0,232,-100,0,0,0,105,19,23,16
13845,1063,20240805,349,8,4183.44,62276,14721,20.74,284.85,6367,680,156,99,45,53,0,0,297,-100,0,0,0,77,25,7,2
13846,1073,20241031,332,4,737.548,266446,0,12.65,34.52,6629,1846,219,223,143,8,1,25053.96084884273,0,3296.9261456668214,33.969261456668214,737.548,30064.753018611274,51,31,24,12
13847,1763,20240516,350,28,11155,1740,0,18.6,297.51,7899,432,259,16,16,31,0,0,221,-100,0,0,0,142,39,2,17
13848,1636,20240519,55,45,1667.52,268965,14112,2.85,287.11,7787,259,265,153,78,59,0,0,0,-100,0,0,0,29,28,18,1
13849,1375,20240817,260,23,10252.24,67097,3406,22.99,26.17,1825,581,428,186,13,7,0,0,267,-100,0,0,0,78,12,7,14
13850,1633,20240703,88,28,3997.62,460891,13792,24.24,328.87,6087,1926,117,146,77,38,0,0,73,-100,0,0,0,26,11,10,10
13851,1508,20240410,281,32,8906.91,487226,14465,21.5,390.34,102,1759,394,240,136,5,1,61675.85634497931,153,592.4495290171261,6.9244952901712615,8906.91,74011.02761397517,120,39,1,0
13852,1787,20240531,39,34,3087.94,483388,11628,1.71,354.84,1045,383,131,90,86,61,0,0,156,-100,0,0,0,36,37,3,4
13853,1398,20240316,174,34,7022.04,173676,14270,4.55,164.02,5651,782,16,185,77,58,0,0,395,-100,0,0,0,78,31,8,14
13854,1120,20240930,77,38,9604.67,384631,3070,3.08,25.77,1142,963,167,156,10,75,0,0,197,-100,0,0,0,55,36,8,4
13855,1437,20240311,53,35,6815.85,29393,7248,10.93,285.54,6232,1817,53,37,37,39,0,0,139,-100,0,0,0,117,21,21,13
13856,1829,20240503,283,25,3713.3,204626,11752,1.71,340.83,2286,1382,365,82,82,41,0,0,179,-100,0,0,0,99,33,8,0
13857,1676,20240327,240,43,2839.56,346988,3799,23.61,426.95,6184,1514,403,237,148,5,0,0,248,-100,0,0,0,105,33,21,12
13858,1465,20241008,285,11,5769.555,191264,6116,14.83,25.296,5309,671,76,237,145,16,0,0,305,-100,0,0,0,96,14,12,14
13859,1286,20240115,173,19,10073.81,181234,10747,14.4,143.15,4122,1950,339,169,27,3,0,0,16,-100,0,0,0,13,4,20,5
13860,1265,20240803,283,4,7350.76,459424,11249,11.43,25.296,1068,1374,56,257,60,45,0,0,273,-100,0,0,0,36,6,14,15
13861,1320,20241103,280,8,6128.7,174943,9609,8.78,203.32,71,1405,216,143,72,4,0,0,167,-100,0,0,0,86,11,16,8
13862,1673,20240927,327,32,3032.49,88141,7541,12.37,118.2,7498,923,345,267,92,41,0,0,261,-100,0,0,0,98,0,19,7
13863,1376,20240325,255,30,5233.35,173061,8611,13.18,37.55,3526,227,439,220,51,15,0,0,219,-100,0,0,0,54,18,24,19
13864,1820,20241115,196,15,7459.75,427747,8016,17.55,378.99,3180,60,329,289,138,34,0,0,118,-100,0,0,0,0,18,23,6
13866,1654,20240923,275,31,5769.555,467396,3041,14.59,212.59,4814,383,13,62,62,72,0,0,104,-100,0,0,0,38,44,15,3
13867,1203,20240803,308,10,2912.07,123727,5338,14.69,82.68,3927,614,355,198,66,56,0,0,320,-100,0,0,0,95,46,7,7
13868,1821,20240531,117,14,7775.85,177913,136,9.49,274.99,4739,986,246,251,27,8,0,0,80,-100,0,0,0,113,14,18,5
13870,1334,20241024,253,44,3628.02,357447,5896,18.76,107.36,6638,1967,402,220,33,7,0,0,339,-100,0,0,0,28,40,22,7
13871,1222,20240625,169,3,737.548,32688,13632,17.91,234.42,3754,155,341,157,138,43,0,0,211,-100,0,0,0,74,18,14,14
13872,1041,20241008,113,41,2234.61,15969,1158,21.89,119.33,7459,1083,382,10,10,77,0,0,0,-100,0,0,0,113,48,2,6
13874,1068,20240517,286,2,6842.31,426609,2258,5.71,25.296,3290,799,254,206,26,3,0,0,214,-100,0,0,0,47,20,5,6
13875,1776,20240906,20,2,2073.03,99040,6657,11.24,125.46,1483,238,118,226,109,10,1,141070.04345386397,332,6705.016977750634,68.05016977750633,2073.03,169284.05214463675,138,15,18,12
13876,1514,20240328,32,25,5813.9,132813,5080,15.14,348.63,7442,164,34,37,37,0,0,0,315,-100,0,0,0,126,7,2,19
13877,1873,20240730,333,16,7393.62,123726,3448,14.16,82.72,103,1210,35,235,130,62,1,17281.191425629862,287,133.73112799453938,2.3373112799453937,7393.62,20737.429710755838,11,33,3,3
13878,1637,20240213,45,30,5769.555,185458,12621,5.9,311.21,6156,916,6,132,58,78,0,0,396,-100,0,0,0,0,39,21,18
13879,1622,20240814,332,2,2978.08,41092,865,24.24,25.296,7083,793,162,94,15,42,0,0,86,-100,0,0,0,61,31,2,6
13880,1598,20241104,256,24,2271.66,214617,1896,23.18,325.16,2084,763,130,165,137,29,0,0,128,-100,0,0,0,49,12,3,16
13881,1632,20240214,240,16,2120.38,411110,14101,2.49,328.18,1402,1720,296,29,29,65,0,0,81,-100,0,0,0,0,43,20,16
13882,1127,20240206,173,24,4357.13,457066,4213,12.85,144.12,3532,356,424,109,1,20,0,0,113,-100,0,0,0,54,43,8,3
13883,1255,20240813,49,31,7807.72,0,0,12.13,362,4393,475,319,250,119,73,0,0,298,-100,0,0,0,142,28,16,3
13884,1695,20240205,169,5,8078.76,207892,13338,9.89,93.41,2062,1688,280,174,19,61,1,50945.38563339645,0,530.6089750580095,6.306089750580095,8078.76,61134.46276007574,105,35,14,11
13885,1016,20240201,170,30,2570.99,462347,14855,19.7,198.54,7278,460,67,275,51,70,0,0,37,-100,0,0,0,23,38,15,7
13886,1477,20240924,92,19,1618.24,42124,1288,23.1,453.05,1898,27,151,138,54,26,0,0,0,-100,0,0,0,142,35,1,19
13887,1062,20240405,297,20,5411.7,0,0,24.24,387.11,7258,134,434,28,28,46,0,0,159,-100,0,0,0,91,15,19,12
13888,1881,20240517,244,17,1737.24,169112,14644,3.51,425.99,3031,1054,148,142,135,59,1,6969.441741457973,73,301.1789816869272,4.011789816869271,1737.24,8363.330089749566,77,4,5,2
13889,1432,20240812,258,41,9764.4,33435,0,1.71,189.85,3220,557,281,107,12,67,0,0,0,-100,0,0,0,129,8,10,4
13890,1670,20240818,108,7,1052.38,0,0,7.24,474.668,7638,693,243,78,78,13,0,0,256,-100,0,0,0,142,1,17,15
13891,1268,20240226,256,32,9037.52,256381,9731,17.22,328.76,4945,1296,95,154,96,62,0,0,236,-100,0,0,0,111,45,15,17
13892,1035,20241125,67,19,737.548,222679,6809,10.41,25.296,3915,971,279,107,88,32,0,0,105,-100,0,0,0,106,4,14,0
13893,1779,20241006,168,27,9693.46,34376,8252,11.91,37.27,6542,785,371,191,92,32,0,0,18,-100,0,0,0,114,17,13,6
13894,1576,20240203,356,3,7544.46,80229,13373,24.24,349.09,2950,1386,381,117,117,55,0,0,167,-100,0,0,0,105,41,6,2
13895,1494,20240319,230,29,3902.36,197725,9046,24.24,472.9,6676,1042,251,276,98,36,0,0,220,-100,0,0,0,0,35,1,13
13896,1562,20240513,239,11,4895.95,150933,533,22.93,371.69,1960,721,248,58,58,8,0,0,0,-100,0,0,0,48,6,6,3
13897,1469,20240319,10,2,8099.73,16608,892,10.59,260.79,3175,1147,133,80,12,12,0,0,391,-100,0,0,0,111,1,0,0
13898,1767,20241217,9,23,2268.26,185188,10343,11.28,100.46,1511,339,448,54,54,70,0,0,70,-100,0,0,0,142,6,4,7
13899,1661,20240415,254,16,10689.33,488615,5324,19.4,401.01,6115,1207,447,2,2,10,0,0,204,-100,0,0,0,71,3,5,5
13900,1325,20240726,322,21,5820.5,207871,11214,22.59,287.16,6668,1924,368,38,38,56,0,0,210,-100,0,0,0,135,21,23,17
13901,1304,20240624,309,41,9133.67,371405,1774,20.42,84.47,304,1997,126,107,5,41,0,0,87,-100,0,0,0,135,43,3,4
13902,1276,20240701,243,27,6105.02,9691,6017,12.05,109.28,1862,141,337,134,21,72,0,0,0,-100,0,0,0,111,31,20,11
13904,1684,20240429,125,18,5661.91,430237,1024,6.96,178.68,6738,928,36,251,11,56,0,0,172,-100,0,0,0,0,43,16,7
13906,1445,20240806,328,1,8806.41,257261,165,4.37,197.49,1494,1237,390,190,145,51,0,0,336,-100,0,0,0,129,42,8,9
13907,1324,20240727,68,26,10161.52,0,0,1.71,400.43,139,1893,174,242,93,9,0,0,140,-100,0,0,0,65,8,2,16
13908,1035,20240205,159,9,10260.04,0,0,11.39,114.89,1297,324,464,144,65,47,0,0,306,-100,0,0,0,118,19,5,7
13909,1482,20241022,212,7,1497.69,229201,5557,16.56,117.83,1037,137,224,255,84,8,0,0,349,-100,0,0,0,31,11,2,6
13910,1728,20240430,86,30,9148.35,131082,456,1.71,26.37,6611,734,142,207,125,73,0,0,15,-100,0,0,0,0,1,16,6
13911,1480,20240623,284,27,2439.46,347938,5582,1.77,383.62,2253,214,161,105,105,15,0,0,0,-100,0,0,0,117,5,11,16
13913,1008,20240220,104,3,5769.555,169259,3429,23.52,159.76,1673,1133,468,287,24,65,0,0,115,-100,0,0,0,93,32,11,16
13914,1301,20240915,148,3,3549.78,20449,14637,3.96,272.61,364,1463,347,159,56,21,0,0,287,-100,0,0,0,50,14,21,8
